,1. open,2. high,3. low,4. close,5. volume,IWO_5d_EMA,IWO_10d_EMA,IWO_150d_EMA,EMA_8,EMA_21,SMA_50,SMA_200
2019-01-10,42.2,44.6,42.16,44.03,7249487.0,174.3894,171.343,188.3911,42.4299,41.9554,42.1478,
2019-01-11,43.85,44.1022,43.1,43.48,1656075.0,175.6351,172.5764,188.2551,42.8016,42.1506,42.1698,
2019-01-14,43.13,43.3,42.4,43.22,708637.0,175.772,173.2072,188.0934,42.9123,42.2551,42.1958,
2019-01-15,44.5,45.19,43.5,44.99,2879504.0,176.5536,174.0999,187.9613,43.4185,42.5219,42.2356,
2019-01-16,45.0,45.0,42.52,43.06,3720823.0,177.3015,174.9539,187.8399,43.7699,42.7472,42.2844,
2019-01-17,42.64,45.02,42.22,44.9,2914735.0,178.4576,176.0114,187.7463,44.0477,42.9538,42.3176,
2019-01-18,45.1,47.205,45.05,47.0,3420395.0,179.9648,177.2782,187.6831,44.7493,43.3403,42.4019,
2019-01-22,46.45,46.6,45.6,45.85,1758373.0,179.7729,177.662,187.5733,45.1606,43.6366,42.4759,
2019-01-23,45.88,47.0,44.54,45.4,1748115.0,179.4181,177.8523,187.4558,45.5694,43.9424,42.5239,
2019-01-24,45.68,46.75,45.25,46.71,1291272.0,179.6123,178.2429,187.3571,45.8317,44.1976,42.5559,
2019-01-25,47.22,48.6,47.0,48.57,1937175.0,180.5932,179.0269,187.2935,46.4469,44.5978,42.6279,
2019-01-28,47.94,48.88,47.5504,48.82,1977001.0,180.7507,179.3976,187.211,46.9876,44.9871,42.7165,
2019-01-29,48.99,49.38,47.54,48.3,1616454.0,180.6519,179.5897,187.1215,47.5192,45.3865,42.8425,
2019-01-30,48.78,49.43,48.24,49.37,2217170.0,181.4013,180.1916,187.0656,47.9438,45.7541,42.9681,
2019-01-31,49.46,50.03,49.11,49.45,2556705.0,182.5551,181.0409,187.0364,48.4074,46.1428,43.1599,
2019-02-01,49.33,49.99,48.21,49.96,2802541.0,183.4361,181.7968,187.0121,48.7591,46.4925,43.3595,
2019-02-04,49.99,51.23,49.76,51.04,2422527.0,184.7763,182.8258,187.018,49.3082,46.9232,43.5887,
2019-02-05,51.26,52.6,50.75,52.45,2583712.0,185.8012,183.7395,187.029,50.0397,47.4393,43.8691,
2019-02-06,52.45,52.45,50.5401,51.3,1812943.0,186.4122,184.4476,187.037,50.5753,47.8948,44.0909,
2019-02-07,50.9,51.55,49.77,50.71,1954133.0,186.1028,184.6361,187.0164,50.7919,48.2271,44.2971,
2019-02-08,50.05,51.935,49.55,51.77,1065613.0,186.0971,184.8996,187.0041,51.0459,48.5642,44.4958,
2019-02-11,51.51,52.2492,50.4,51.63,1143487.0,186.6423,185.4148,187.0138,51.3133,48.8992,44.7158,
2019-02-12,52.0,52.84,51.81,52.66,2389974.0,188.0348,186.3975,187.0642,51.6526,49.2574,44.9226,50.438
2019-02-13,53.15,54.08,52.75,53.65,3384059.0,189.1045,187.2786,187.1195,52.192,49.6959,45.154,50.5039
2019-02-14,53.5,53.6,52.56,53.33,2836616.0,190.0609,188.1323,187.1838,52.5049,50.0508,45.3777,50.571
2019-02-15,53.5,54.04,53.39,53.63,1433592.0,191.7406,189.3991,187.2887,52.846,50.4134,45.6001,50.6417
2019-02-19,53.78,54.86,53.4,54.33,1895036.0,192.9557,190.4877,187.3959,53.2936,50.8177,45.8385,50.7135
2019-02-20,54.33,54.885,53.85,54.11,1591256.0,193.973,191.4913,187.51,53.6472,51.1874,46.0966,50.7752
2019-02-21,54.11,54.49,53.64,53.83,1021089.0,194.3684,192.1582,187.6113,53.8345,51.4877,46.322,50.8343
2019-02-22,54.06,54.29,53.61,53.99,1224757.0,195.3684,193.1055,187.7405,53.9357,51.7424,46.5866,50.8962
