,1. open,2. high,3. low,4. close,5. volume,IWO_5d_EMA,IWO_10d_EMA,IWO_150d_EMA,EMA_8,EMA_21,SMA_50,SMA_200
2020-09-11,131.12,131.6642,122.85,126.28,4284125.0,217.4667,219.8758,205.4723,131.5802,124.9407,114.7228,79.3707
2020-09-10,130.28,134.05,128.4,129.35,6511669.0,218.7699,220.9904,205.3463,131.5563,124.2684,114.1624,78.9932
2020-09-09,129.611,129.6959,124.0,128.18,5758320.0,219.9068,221.9891,205.1967,130.8438,123.2902,113.509,78.5995
2020-09-08,118.86,128.93,118.0,125.63,6962851.0,220.3456,222.6468,205.011,131.1717,122.6496,112.9105,78.2283
2020-09-04,125.28,129.95,115.25,125.19,10846622.0,223.128,224.3949,204.8799,131.8122,122.0216,112.4119,77.8752
2020-09-03,131.0,138.79,127.0,129.25,21225913.0,225.701,225.82,204.704,132.3443,121.2287,111.9796,77.5132
2020-09-02,152.04,153.1,130.98,142.07,32009783.0,227.9946,226.8658,204.4837,130.5026,119.4726,111.3257,77.1193
2020-09-01,134.44,144.68,130.0,143.69,16047964.0,226.8074,226.0872,204.1363,124.0462,116.1099,110.4097,76.6537
2020-08-31,120.0,126.5499,120.0,125.73,8674423.0,225.929,225.5368,203.8084,118.1509,113.2529,109.6273,76.2049
2020-08-28,118.2598,121.0,117.42,118.64,3602817.0,225.933,225.4514,203.5116,115.7512,111.9232,109.1941,75.8344
2020-08-27,117.4,118.27,113.78,117.13,3181375.0,225.3705,225.0944,203.1955,114.2515,111.0155,108.8115,75.4686
2020-08-26,115.01,119.9429,114.26,117.11,4861880.0,225.5141,225.0969,202.9017,113.1034,110.29,108.481,75.1123
2020-08-25,110.3,114.45,109.35,113.57,2817384.0,225.6148,225.049,202.6009,111.1492,109.3247,108.1157,74.7486
2020-08-24,113.4,113.6561,108.26,111.245,2810981.0,225.4518,224.8508,202.2876,110.2061,108.8122,107.8267,74.4189
2020-08-21,112.0,113.53,110.87,112.02,2348640.0,225.7707,224.8589,201.9852,109.2204,108.3278,107.5133,74.0941
2020-08-20,107.55,112.65,106.82,112.49,2803516.0,226.1393,224.8202,201.6759,107.9891,107.8076,107.2451,73.7795
2020-08-19,107.65,109.69,105.7,108.15,2234737.0,225.9542,224.4448,201.3425,106.6574,107.3234,106.9469,73.4686
2020-08-18,106.52,107.65,105.6233,107.1,2551599.0,225.5469,223.9283,201.0012,105.791,107.0867,106.6907,73.1744
2020-08-17,102.01,105.5,101.75,105.34,2811561.0,225.1604,223.3968,200.6614,105.2598,107.0304,106.4877,72.8944
2020-08-14,103.21,104.36,100.9107,101.25,3416024.0,224.3213,222.632,200.31,105.1912,107.1834,106.2973,72.6293
2020-08-13,99.44,102.12,98.31,100.89,3254917.0,224.3044,222.249,199.9873,105.4287,107.4658,106.1799,72.3493
2020-08-12,98.61,100.41,97.23,98.45,3193307.0,223.511,221.4397,199.6396,106.374,108.0003,106.2135,72.0953
2020-08-11,97.1,100.5,93.37,98.16,8324166.0,223.0241,220.763,199.3061,108.078,108.7594,106.1413,71.8536
2020-08-10,102.81,102.81,96.7,97.0,7267486.0,223.1614,220.3216,198.9914,110.2432,109.5853,106.0473,71.612
2020-08-07,107.2,107.39,100.28,101.75,6637368.0,222.021,219.1836,198.6363,112.3669,110.2628,105.7511,71.3501
2020-08-06,114.56,115.41,109.03,110.3,3871844.0,220.405,217.8349,198.2791,113.7889,110.5501,105.2489,71.0555
2020-08-05,114.97,116.18,113.98,114.75,4431975.0,218.9236,216.6054,197.9423,113.3258,110.0641,104.5207,70.7233
2020-08-04,115.56,116.0,112.78,114.96,2667534.0,216.7415,215.1204,197.6021,112.5103,109.4526,103.8651,70.394
2020-08-03,114.48,116.18,112.25,115.48,4292455.0,215.3831,214.1564,197.3087,111.5132,108.7978,103.1991,70.0798
2020-07-31,112.91,113.84,109.41,113.2,2813279.0,213.8193,213.1888,197.0241,110.1798,108.0596,102.5129,69.7777
2020-07-30,111.0,112.8,108.91,111.91,2895945.0,213.972,213.1165,196.8028,109.1341,107.4816,101.8709,69.4906
2020-07-29,107.61,113.83,107.4014,112.92,5178785.0,213.3134,212.6337,196.5547,108.0867,106.9497,101.2065,69.2158
2020-07-28,104.4,109.28,103.8214,105.73,4704482.0,212.6497,212.1876,196.3119,106.4457,106.2617,100.5097,68.9541
2020-07-27,101.32,104.35,100.17,103.6,4537546.0,213.4443,212.4381,196.1139,105.6359,105.9599,99.9299,68.7257
2020-07-24,99.1,101.67,97.06,100.03,4076704.0,212.8659,211.9575,195.8658,106.0033,106.1208,99.3909,68.5361
2020-07-23,104.56,105.6599,99.6,101.46,3726716.0,213.9332,212.23,195.6662,107.2414,106.5659,98.9435,68.3699
2020-07-22,106.6,107.176,102.6,103.71,3863734.0,213.7938,211.7895,195.4173,107.6932,106.6565,98.4429,68.1901
2020-07-21,108.44,108.47,104.44,106.6,3605349.0,213.1507,211.0583,195.1534,107.841,106.6046,97.8664,67.9766
2020-07-20,101.89,106.947,101.66,106.72,5918850.0,212.256,210.1957,194.8878,107.6613,106.418,97.2562,67.7462
2020-07-17,101.405,102.87,99.0,101.43,5725541.0,210.9988,209.179,194.6209,107.8654,106.3651,96.6523,67.4998
2020-07-16,102.1,102.815,98.61,101.06,5095948.0,209.6863,208.1914,194.3658,109.2927,106.7147,96.0673,67.283
2020-07-15,105.58,106.023,100.59,103.15,4948475.0,208.7499,207.443,194.135,111.1435,107.1046,95.511,67.0621
2020-07-14,107.14,109.35,99.12,105.61,9077317.0,206.348,206.085,193.8744,112.6064,107.2128,94.8639,66.8237
2020-07-13,118.02,118.58,105.72,106.21,7228984.0,205.8867,205.8216,193.6946,113.5369,106.9991,94.0807,66.5887
2020-07-10,117.57,118.25,115.41,116.65,3437219.0,207.1447,206.3662,193.5647,112.096,105.841,93.0947,66.3128
2020-07-09,115.51,118.38,113.11,117.46,7065086.0,206.9671,206.1142,193.3776,110.3377,104.6001,92.1617,66.0584
2020-07-08,107.37,114.69,107.1,114.55,6953609.0,207.1595,206.0102,193.2004,108.0399,103.2221,91.2883,65.8093
2020-07-07,107.0,108.67,105.21,106.42,4591536.0,206.4059,205.4199,192.9928,106.1398,102.0753,90.4945,65.5832
2020-07-06,109.339,109.68,104.715,106.39,7918074.0,206.4673,205.2281,192.8144,105.4169,101.4158,89.8141,65.3992
